Specimen number	Plant ID	Damage 	area_leaf	hole_dam	margin_dam	skele_dam	surf_dam	ps_dam	ovi_dam	mine_dam	gall_dam	fungal_dam								
5730	DH03	"2, 3, 4"	15.32	0.306																
5731	DH03	2(3)	45.513	0.034																
5734	DH12	"4, 5, 12"	27.6	0.56	0.074															
5735	DH03	12	47.97		1.219															
5738	DH12	"2(3), 57"	21.11	0.034																
5740	DH12	"12, FFB"	10.6		0.301							0.007								
5741	DH03	"1, 2(3), 31(36), 57"	34.422	0.281			0.0761944													
5742	DH12	16(2)	80.65			3.37														
5745	DH12	"1, 13, FFB"	52.59	0.008	0.359							0.318								
5746	DH12	"2(3), 4(2), 12(3)"	77.51	1.341	0.671															
5750	DH12	"2(3), 16(2), F"	56.01	0.082		4.531						0.329								
5759	DH03	"12(2), 13"	25.094		1.478															
5784	DH12	12	15.85		0.093															
5786	DH18	3	10.97	0.044																
5788	DH12	"1, 2, 12"	23.86	0.048	0.308															
5793	DH18	"1, 2(2)"	25.94	0.028																
5800	DH12	"2(3), FFB"	30.49	0.055								0.432								
5807	DH18	"1, 3, 16, 17(4), FFB"	110.8	0.079		1.023						0.018								
5812	DH08	"3(4), 57, FFB"	46.55	2.297								0.48								
5813	DH08	0	24.94																	
5814	DH03	"8, 50"	20.02	0.22																
5816	DH08	"2, 12, 13"	21.73	0.027	0.891															
5817	DH08	"12, 14, 32(3)"	14.48		0.495						0.006									
5818	DH08	2(4)	30.77	0.032								0.025								
5823	DH08	32	3.117								0.004									
5824	DH08	"2, 29"	18.75	0.012			0.013													
5827	DH08	"2(10), 4, 12(2), 29"	38.77	0.269	0.369		0.007													
5832	DH08	0	33.78																	
5833	DH08	"2, 3"	25.18	0.49																
5834	DH08	0	6.21																	
5837	DH08	"2, 12"	29.11	0.011	0.324															
5838	DH08	69	35.47							0.028										
5851	DH08	"2(7), 3(6), 8(3)"	25.58	0.079																
5856	DH18	"2, 12"	17.91	0.013	0.107															
5858	DH03	12	23.69		0.075															
5861	DH18	 F	27.96									0.513								
5866	DH18	"1, 2(2), 3(3), 57(2), FFB"	17.893	0.503								0.029								
5868	DH18	"2(3), 17"	31.66	0.065		1.77														
5869	DH18	"2, 8"	78.76	0.512																
5871	DH05	"2, 13"	32.1	0.036	0.217															
5876	DH05	"2(2), 13, 34, F"	22.166	0.019	0.45						0.011									
5878	DH05	2	3.391	0.004																
5881	DH05	"12, F"	36.72		0.467															
5883	DH05	"2(3), 4(3), 12, 13, F"	42.79	0.666	3.8															
5885	DH02	"1(4), 12"	122.69	0.019	0.306															
5886	DH01	"2(2), 16"	201.4	0.091		9.917														
5887	DH02	"4, 5, 16(2)"	70.64	0.627		0.81														
5889	DH02	12	64.64		0.125															
5945	DH01	"1, 8(3)"	112.16	0.078																
5949	DH02	"2(7), 3(2)"	121.17	0.31																
5952	DH08	"2(2), FFB"	11.85	0.069								0.044								
5953	DH12	"13, FFB"	27.02		3.54							0.014								
5958	DH12	12	13.62		0.074															
5963	DH03	"16, 31"	17.94			0.32					0.007									
5970	DH12	2	33.1	0.032																
5980	DH03	"2, 12, F"	34.478	0.01	0.167															
6322	DH02	0	39.4																	
6323	DH02	"2(4), 3, 12, 17, FFB"	61.73	0.073		4.08						0.147								
7034	DH18	"34(2), F"	5								0.097	0.029								
7037	DH05	2(3)	37.62	0.025																
7040	DH08	3(5)	23.54	0.24																
7051	DH03	"2(2), F"	45.55	0.054								5.173								
7914	DH03	"2, 12, 13, 14"	81.6	0.005	16.96															
7921	DH12	"2(2), 64"	40.1	0.209																
7925	DH03	"1(2), 2(3), 5(2)"	59.4	0.41																
7929	DH08	"57, F"	46.72	0.101								2.61								
7956	DH22	16	10.99			0.059														
7960	DH22	12(2)	17.69		0.69															
7961	DH12	"2, 5, 16"	60.98	0.302		0.613														
7964	DH12	"31(3), F"	37.16				0.072					6.153								
7965	DH12	"2(20), 12"	36.43	0.087	0.863															
7967	DH12	"8, 12"	30.99	0.058	0.053															
7968	DH12	"F, FFB"	30.69									1.377								
7970	DH12	"4(2), 13"	30.79	0.559	0.612															
7973	DH12	12	25.456		0.019															
7974	DH18	35	22.49							0.1										
7976	DH12	2	80.97	0.096																
7981	DH12	31	34.78								0.053									
7982	DH12	2(2)	37.92	0.099																
7983	DH12	"2(3), 3, 4"	48.09	0.577																
7985	DH12	"31(4), FFB"	45.2								0.095	0.247								
7988	DH12	2(3)	33.23	0.06																
7989	DH12	"2(2), 12, F"	56.26	0.048	0.085							4.406								
7997	DH12	"2(2), 16"	86.86	0.288		14.15														
7999	DH12	12	19.16		0.165															
8012	DH18	"2, 8(2)"	42.13	0.095																
8033	DH08	"2, F, FFB"	18.16	0.022								0.069								
8034	DH08	"2(2), 12, FFB"	9.54	0.039	0.207															
8043	DH08	"2(2), 12"	16.39	0.031	0.192															
8047	DH03	3	9.8	0.021																
8049	DH08	2(3)	13.06	0.06																
8050	DH12	110	63.498								0.187									
8051	DH08	1	27.41	0.004																
8054	DH08	"8, 12(2), 57"	8.99	0.042	0.195															
8055	DH08	"43, F"	22.21							0.818		0.037								
8058	DH02	2(3)	21.05	0.027																
8059	DH02	29(2)	68.22				0.06													
8064	DH08	"4, F, FFB"	50.02	0.309								2.048								
8066	DH08	"2, 30(4)"	23.23	0.01			0.384													
8074	DH18	29	8.8				0.015													
8080	DH08	"30(2), 34(2)"	16.61				0.918				0.061									
8091	DH22	"3, 12(2), 57"	37.12	1.217	0.137															
8102	DH22	30(2)	8.926			0.051														
8110	DH12	2	92.59	0.025																
8111	DH08	2(3)	8.52	0.074																
8120	DH12	"2(2), 31(21)"	90.69	0.102							0.072									
8121	DH08	"13, 32(6)"	31.08		0.344						0.085									
8131	DH08	2(7)	24.95	0.137																
8137	DH18	"1, 2"	59.65	0.178																
8143	DH08	12(2)	24.06		1.15															
8146	DH08	30	12.07				0.03													
8147	DH08	"12(2), 31, FFB"	26.43		1.52							0.06								
8158	DH21	"3(7), 2(5), F"	15.85	0.123																
8166	DH08	"5, FFB"	32.56	0.177								0.8								
8169	DH08	"1, 2(8), F"	19.17	0.149								0.106								
8170	DH08	"2(2), 7, 14"	27.91	0.38	3.08															
8173	DH08	"3(4), 5(2), 12"	29.39	0.316	0.036															
8177	DH18	4(2)	26.56	0.312																
8180	DH08	"2(6), 3(2), 12, 29, FFB"	45.64	0.213	0.642		0.131					0.03								
8184	DH08	"2, 30"	15.73	0.011			0.285													
8187	DH08	12	10.49		0.177															
8188	DH03	31(2)	13.13				0.011													
8191	DH03	"1, F"	31.99	0.031								0.157								
8196	DH12	110	15.5								0.079									
8198	DH03	"2(7), 12(2), F"	30.42	0.398	0.302							1.57								
8199	DH08	12(2)	16.81		0.058															
8204	DH18	"34(12), F"	27.73								0.276	0.271								
8310	DH12	"13, 31(4), F"	30.04		3.36						0.077	0.186								
8324	DH03	"2, 12(2)"	7.14	0.058	0.113															
8330	DH08	13	6.301		0.025															
8333	DH03	"1(6), 3, 7, 10, 12, 32(6), 100"	27.2	0.051	0.411				0.155	0.057	0.025									
8334	DH03	"145, F"	39.95								0.033	4.41								
8337	DH22	"5, FFB"	17.23	1.14								1.69								
8339	DH22	13	16.11		0.852															
8345	DH08	31	32.54				0.594													
8353	DH03	"2(2), 122(2)"	33.36	0.047							0.08									
8366	DH08	"12(2), 63"	6.66	0.052	0.019															
8369	DH08	4	35.04	0.152																
8370	DH08	"3(2), 12"	9.713	0.062	0.023															
8373	DH08	"28, FFB"	15.21				0.958					0.015								
8374	DH08	"2(2), 5, 14"	26.84	0.57	2.99															
8376	DH08	"12, FFB"	21.42		0.172							0.059								
8378	DH08	"2(5), 5, 8, 13"	17.4	0.424	0.915															
8380	DH08	"2, FFB"	22.89	0.091								0.212								
8386	DH08	"12, FFB"	15.974		0.142							0.0391								
8387	DH02	2(110)	68.78								0.987									
8600	DH03	"2(3), FFB"	17.306	0.21								0.128								
8602	DH18	"32(6), FFB"	49.42								0.127	1.168								
8603	DH18	"2(3), 29(3)"	50.82	0.103			0.074													
8604	DH18	"29, FFB"	31.06				0.471					3.48								
8605	DH18	2(3)	21.7	0.029																
8613	DH22	2	4.71	0.007																
8616	DH08	"12, 32(7), FFB"	25.57		0.141						0.031	0.067								
8621	DH08	36	8.58							0.171										
8622	DH08	FFB	9.61									0.449								
8623	DH08	2	21.97	0.04																
8625	DH08	"2(2), 12(4), 46(3)"	13.48	0.136	0.215															
8627	DH08	"2(11), 4, 12(3)"	14.61	0.325	0.524															
8631	DH08	"31, 100"	11.62				0.038		0.16											
8633	DH08	"2(2), 12"	15.72	0.231	0.497															
9018	DH02	"2(2), 8, 12(2), 16, 50"	208.21	0.494	0.739	2.32														
9019	DH01	2	22.47	0.061																
9020	DH02	"2, 5, 8"	105.28	0.16																
9024	DH18	FFB	42.98									0.065								
9028	DH03	"12, FFB"	20.79	0.017								0.124								
9039	DH08	"8, 12"	41.08	0.017	0.049															
9052	DH08	32(3)	8.2								0.13									
9056	DH08	"12, 13"	9.32		0.719															
9062	DH22	"2, 3(4), 4(2)"	12.32	0.313																
9063	DH08	"3, 4"	13.08	0.265																
9070	DH01	2	40.372	0.049																
9071	DH02	"2, 8, 12, 29 (3)"	73.9	0.27	1.19		0.042													
10150	DH08	12	15.22		0.375															
10154	DH21	"2, 12"	7.273	0.012	0.167															
10156	DH08	2	33.2	0.053																
10157	DH08	2(2)	45.79	0.047																
10159	DH03	16	36.83			0.499														
10161	DH08	12	34.86		1.34															
10166	DH03	"2(2), 5, 12(2)"	14.22	0.163	0.195															
10167	DH03	"2(4), 3(2), 12(2), 46(13)"	29.58	1.161				0.043												
41867	DH08	"12, 14"	14.4		1.83															
41887	DH18	"2(2), F, FFB"	34.14	0.06								0.551								
41889	DH12	"2(8), 4, FFB"	53.38	0.771								1.476								
8151.1	DH01	0	41.83																	
8060	DH01	0	6.28																	
8642.2(sm)	DH01	0	64.46																	
5884	DH02	0	38.84																	
8639	DH02	0	62.68																	
6321	DH02	0	73.21																	
8642.1 (lg)	DH02	0	88.28																	
6325	DH02	0	64.84																	
5947	DH02	0	218.1																	
8390	DH02	0	102.4																	
5946	DH02	0	36.42																	
5991	DH02	0	53.62																	
8189.2(sm)	DH03	0	16.74																	
8189.1(lg)	DH03	0	23.77																	
8105	DH03	0	35.25																	
8073	DH03	0	12.18																	
9059+9064	DH03	0	4.61																	
7990	DH03	0	69.48																	
8848	DH03	0	29.58																	
8086	DH03	0	13.89																	
8638	DH05	0	40.82																	
5872	DH05	0	5.74																	
5877.2(sm)	DH05	0	20.49																	
8630+8149	DH08	0	25.12																	
8183.2(sm)	DH08	0	14.56																	
8052	DH08	0	27.6																	
8069	DH08	0	22.2																	
8372+8194	DH08	0	16.9																	
8067.2(drk)	DH08	0	30.79																	
9067	DH08	0	11.68																	
8375	DH08	0	17.09																	
8075	DH08	0	3.55																	
8063.5(sm)	DH08	0	7.78																	
7040.2(sm)	DH08	0	12.78																	
7994	DH08	0	24.04																	
8172	DH08	0	33.16																	
8163.1(lg)	DH08	0	5.108																	
8620+8628	DH08	0	5.29																	
5822	DH08	0	11.71																	
8382	DH08	0	10.48																	
8185	DH08	0	15.04																	
8381	DH08	0	9.55																	
8367	DH08	0	7.36																	
8157	DH08	0	9.98																	
5783	DH12	0	28.96																	
9037	DH12	0	76.02																	
8329	DH12	0	12.83																	
5974	DH12	0	38.82																	
5753	DH12	0	33.14																	
8107	DH12	0	38.77																	
8331+8635	DH12	0	17.74																	
8140	DH12	0	37.49																	
5748	DH12	0	35.89																	
