Specimen.number	Plant.ID	Damage	area_leaf	hole_dam	margin_dam	skele_dam	surf_dam	ps_dam	ovi_dam	mine_dam	gall_dam	fungal_dam	bug_area_dam	fung_bug_comb_area_dam	fung_bug_perc_area_dam	bug_perc_area_dam
5111	Macginitiea gracilis	"2, 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5722	Apeiba improvisa	"2, 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5723	Dicot sp.WR028	"2(3), 3, 4(4), 18, 63(5)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5724	Apeiba improvisa	"1(2), 12, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5725	Populus cinnamomoides	"16(7), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5730	Apeiba improvisa	"2, 3, 4"	15.32	0.306	NA	NA	NA	NA	NA	NA	NA	NA	0.306	NA	1.997389034	NA
5731	Apeiba improvisa	2(3)	45.513	0.034	NA	NA	NA	NA	NA	NA	NA	NA	0.034	NA	0.074703931	NA
5732	Dicot sp.WR028	"12, 110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5733	Apeiba improvisa	"2(2), 12(3), 29(50)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5734	Dicot sp.WR028	"4, 5, 12"	27.6	0.56	0.074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5735	Apeiba improvisa	12	47.97	NA	1.219	NA	NA	NA	NA	NA	NA	NA	1.219	NA	2.541171566	NA
5736	Apeiba improvisa	"16(2), 30(12), 31(65)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5738	Dicot sp.WR028	"2(3), 57"	21.11	0.034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5740	Dicot sp.WR028	"12, FFB"	10.6	NA	0.301	NA	NA	NA	NA	NA	NA	0.007	NA	NA	NA	NA
5741	Apeiba improvisa	"1, 2(3), 29(40), 57"	34.422	0.281	NA	NA	0.0761944	NA	NA	NA	NA	NA	0.3571944	NA	1.037692174	NA
5742	Dicot sp.WR028	16(2)	80.65	NA	NA	3.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5744	Dicot sp.WR031	"2(6), 8, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5745	Dicot sp.WR028	"1, 13, FFB"	52.59	0.008	0.359	NA	NA	NA	NA	NA	NA	0.318	NA	NA	NA	NA
5746	Dicot sp.WR028	"2(3), 4(2), 12(3)"	77.51	1.341	0.671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5747	Apeiba improvisa	"12, 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5749	Dicot sp.WR029	"13, 16(2), 29"	45.692	NA	3.066	0.221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5750	Dicot sp.WR028	"2(3), 16(2), F"	56.01	0.082	NA	4.531	NA	NA	NA	NA	NA	0.329	NA	NA	NA	NA
5753	Dicot sp.WR028	0	28.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5754	Dicot sp.WR027	"43, 100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5756	Dicot sp.WR034	"2(6), 3(7)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5757	Dicot sp.WR029	"2(5), 16, 57, 110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5759	Apeiba improvisa	"12(2), 13"	25.094	NA	1.478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
