"Specimen.number"	"Plant.ID"	"Damage"	"area_leaf"	"hole_dam"	"margin_dam"	"skele_dam"	"surf_dam"	"ps_dam"	"ovi_dam"	"mine_dam"	"gall_dam"	"fungal_dam"	"bug_area_dam"	"fung_bug_comb_area_dam"	"fung_bug_perc_area_dam"	"bug_perc_area_dam"	"perc_area_dam"	"perc_fung_dam"	"LMA"	"LVD"
"1"	"5111"	"Macginitiea gracilis"	"2, 5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.57	0
"2"	"5722"	"Apeiba improvisa"	"2, 16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"3"	"5723"	"Dicot sp.WR028"	"2(3), 3, 4(4), 18, 63(5)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.44	0
"4"	"5724"	"Apeiba improvisa"	"1(2), 12, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"5"	"5725"	"Populus cinnamomoides"	"16(7), F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.04	0
"6"	"5730"	"Apeiba improvisa"	"2, 3, 4"	15.32	0.306	0	0	0	0	0	0	0	0	0.306	0	1.997389034	0	1.99738903394256	0	71.49	10.857
"7"	"5731"	"Apeiba improvisa"	"2(3)"	45.513	0.034	0	0	0	0	0	0	0	0	0.034	0	0.074703931	0	0.0747039307450619	0	71.49	0
"8"	"5732"	"Dicot sp.WR028"	"12, 110"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.44	6.194
"9"	"5733"	"Apeiba improvisa"	"2(2), 12(3), 29(50)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"10"	"5734"	"Dicot sp.WR028"	"4, 5, 12"	27.6	0.56	0.074	0	0	0	0	0	0	0	0	0	0	0	2.29710144927536	0	77.44	0
"11"	"5735"	"Apeiba improvisa"	"12"	47.97	0	1.219	0	0	0	0	0	0	0	1.219	0	2.541171566	0	2.54117156556181	0	71.49	8.193
"12"	"5736"	"Apeiba improvisa"	"16(2), 30(12), 31(65)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"13"	"5738"	"Dicot sp.WR028"	"2(3), 57"	21.11	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0.161061108479394	0	77.44	0
"14"	"5740"	"Dicot sp.WR028"	"12, FFB"	10.6	0	0.301	0	0	0	0	0	0	0.007	0	0	0	0	2.83962264150943	6.60377358490566e-06	77.44	2.902
"15"	"5741"	"Apeiba improvisa"	"1, 2(3), 29(40), 57"	34.422	0.281	0	0	0.0761944	0	0	0	0	0	0.3571944	0	1.037692174	0	1.0376921736099	0	71.49	6.395
"16"	"5742"	"Dicot sp.WR028"	"16(2)"	80.65	0	0	3.37	0	0	0	0	0	0	0	0	0	0	4.17854928704278	0	77.44	0
"17"	"5744"	"Dicot sp.WR031"	"2(6), 8, F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	"5745"	"Dicot sp.WR028"	"1, 13, FFB"	52.59	0.008	0.359	0	0	0	0	0	0	0.318	0	0	0	0	0.697851302528998	6.0467769537935e-05	77.44	3.053
"19"	"5746"	"Dicot sp.WR028"	"2(3), 4(2), 12(3)"	77.51	1.341	0.671	0	0	0	0	0	0	0	0	0	0	0	2.59579409108502	0	77.44	0
"20"	"5747"	"Apeiba improvisa"	"12, 13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"21"	"5749"	"Dicot sp.WR029"	"13, 16(2), 29"	45.692	0	3.066	0.221	0	0	0	0	0	0	0	0	0	0	7.19381948699991	0	0	0
"22"	"5750"	"Dicot sp.WR028"	"2(3), 16(2), F"	56.01	0.082	0	4.531	0	0	0	0	0	0.329	0	0	0	0	8.23602928048563	5.87395108016426e-05	77.44	0
"23"	"5753"	"Dicot sp.WR028"	"0"	28.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.44	0
"24"	"5754"	"Dicot sp.WR027"	"43, 100"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"5756"	"Dicot sp.WR034"	"2(6), 3(7)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.75	0
"26"	"5757"	"Dicot sp.WR029"	"2(5), 16, 57, 110"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	"5759"	"Apeiba improvisa"	"12(2), 13"	25.094	0	1.478	0	0	0	0	0	0	0	0	0	0	0	5.88985414840201	0	71.49	0
"28"	"5762"	"Apeiba improvisa"	"1(3), 2(8), 8, 12(2), 14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"29"	"5764"	"Dicot sp.WR029"	"2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.289
"30"	"5765"	"Symplocos incondita"	"29, 34, F"	12.08	0	0.864	0	0	0	0	0	0	1.202	0	0	0	0	7.1523178807947	0.000995033112582781	119.37	8.539
"31"	"5766"	"Apeiba improvisa"	"4, 16(3), 31(3), F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"32"	"5768"	"Dicot sp.WR033"	"12(2), 29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"33"	"5769"	"Dicot sp.WR033"	"14(2), 143(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"34"	"5770"	"Dicot sp.WR032"	"2, 12(3), 14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.803
"35"	"5771"	"Dicot sp.WR033"	"12(3), 14(2)"	12.4	0	0.662	0	0	0	0	0	0	0	0	0	0	0	5.33870967741935	0	0	0
"36"	"5773"	"Dicot sp.WR033"	"2(3), 3, 12(3), 13"	8.19	0.043	0.059	0	0	0	0	0	0	0	0	0	0	0	1.24542124542125	0	0	0
"37"	"5775"	"Dicot sp.WR027"	"3, F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"38"	"5777"	"Dicot sp.WR031"	"3, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.747
"39"	"5778"	"Dicot sp.WR032"	"12, 30(5)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.501
"40"	"5780"	"Dicot sp.WR007"	"1(2), 2, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"41"	"5782"	"Juglandaceae sp.WR035"	"2(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"42"	"5784"	"Dicot sp.WR028"	"12"	15.85	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0.586750788643533	0	77.44	0
"43"	"5785"	"Dicot sp.WR027"	"2(2), 3(2), FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"44"	"5786"	"Populus cinnamomoides"	"3"	10.97	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0.401093892433911	0	76.04	0
"45"	"5788"	"Dicot sp.WR028"	"1, 2, 12"	23.86	0.048	0.308	0	0	0	0	0	0	0	0	0	0	0	1.49203688181056	0	77.44	0
"46"	"5789"	"Dicot sp.WR029"	"15, 31(60)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.605
"47"	"5791"	"Dicot sp.WR029"	"2(11), 5, 12, 14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"48"	"5793"	"Populus cinnamomoides"	"1, 2(2)"	25.94	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0.107941403238242	0	76.04	0
"49"	"5794"	"Symplocos incondita"	"31(2), 32(3), 34"	36.75	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.108843537414966	0	119.37	0
"50"	"5795"	"Symplocos incondita"	"34(2), 145, F"	23.4	0	0	0	0	0	0	0	0.029	0.161	0	0	0	0	0.123931623931624	6.88034188034188e-05	119.37	0
"51"	"5798"	"Platanites raynoldsii"	"2(2), F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.68	0
"52"	"5800"	"Dicot sp.WR028"	"2(3), FFB"	30.49	0.055	0	0	0	0	0	0	0	0.432	0	0	0	0	0.180387012135126	0.000141685798622499	77.44	0
"53"	"5801"	"Dicot sp.WR007"	"57, F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"54"	"5807"	"Populus cinnamomoides"	"1, 3, 16, 17(4), FFB"	110.8	0.079	0	1.023	0	0	0	0	0	0.018	0	0	0	0	0.994584837545126	1.62454873646209e-06	76.04	0
"55"	"5810"	"Dombeya novi-mundi"	"FFB"	17.67	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	9.62082625919638e-06	0	0
"56"	"5811"	"Symplocos incondita"	"33, 34(3), FFB"	31.02	0	0	0	0	0	0	0	0.398	0	0	0	0	0	1.28304319793682	0	119.37	7.914
"57"	"5812"	"Dicot sp.WR007"	"3(4), 34(2), 57, FFB"	46.55	2.297	0	0	0	0	0	0	0	0.48	0	0	0	0	4.93447905477981	0.000103114930182599	94.16	0
"58"	"5813"	"Dicot sp.WR007"	"30"	24.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"59"	"5814"	"Apeiba improvisa"	"8, 50"	20.02	0.22	0	0	0	0	0	0	0	0	0	0	0	0	1.0989010989011	0	71.49	5.89
"60"	"5815"	"Dicot sp.WR007"	"2(3), 66"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"61"	"5816"	"Dicot sp.WR007"	"2, 12, 13"	21.73	0.027	0.891	0	0	0	0	0	0	0	0	0	0	0	4.22457432121491	0	94.16	0
"62"	"5817"	"Dicot sp.WR007"	"12, 14, 32(3)"	14.48	0	0.495	0	0	0	0	0	0.006	0	0	0	0	0	3.45994475138122	0	94.16	0
"63"	"5818"	"Dicot sp.WR007"	"2(3), FFB"	30.77	0.032	0	0	0	0	0	0	0	0.025	0	0	0	0	0.103997400064998	8.124796880078e-06	94.16	0
"64"	"5819"	"Dicot sp.WR007"	"46(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"65"	"5823"	"Dicot sp.WR007"	"32"	3.117	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0.128328521013795	0	94.16	0
"66"	"5824"	"Dicot sp.WR007"	"2, 29"	18.75	0.012	0	0	0.013	0	0	0	0	0	0	0	0	0	0.133333333333333	0	94.16	7.755
"67"	"5826"	"Symplocos incondita"	"5"	15.08	0.255	0	0	0	0	0	0	0	0	0	0	0	0	1.69098143236074	0	119.37	0
"68"	"5827"	"Dicot sp.WR007"	"2(10), 4, 12(2), 29"	38.77	0.269	0.369	0	0.007	0	0	0	0	0	0	0	0	0	1.66365746711375	0	94.16	0
"69"	"5830"	"Symplocos incondita"	"1(17), 2(6), 3(2)"	24.9	1.08	0	0	0	0	0	0	0	0	0	0	0	0	4.33734939759036	0	119.37	0
"70"	"5831"	"Dicot sp.WR007"	"13, 32(3), FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"71"	"5832"	"Dicot sp.WR007"	"31"	33.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"72"	"5833"	"Dicot sp.WR007"	"30, 45"	25.18	0.49	0	0	0	0	0	0	0	0	0	0	0	0	1.94598888006354	0	94.16	0
"73"	"5834"	"Dicot sp.WR007"	"46(3)"	6.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"74"	"5836"	"Dicot sp.WR007"	"31, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"75"	"5837"	"Dicot sp.WR007"	"2, 12"	29.11	0.011	0.324	0	0	0	0	0	0	0	0	0	0	0	1.15080728272071	0	94.16	0
