"Species","#leaves","%DMG","%Insect","%Spec","%Gall","%Mine","%Fungal","DTs","SpecDTs","GDTs","MDTs","#FFGs"
"Macginitiea gracilis","40","0.75","0.75","0.225","0","0","0.05","16","5","0","0","5"
"Apeiba improvisa","56","0.875","0.875","0.196428571428571","0.107142857142857","0","0.267857142857143","25","8","4","0","7"
"Dicot sp.WR028","82","0.74390243902439","0.719512195121951","0.121951219512195","0.048780487804878","0.0121951219512195","0.24390243902439","21","8","2","1","7"
"Populus cinnamomoides","65","0.707692307692308","0.692307692307692","0.261538461538462","0.123076923076923","0.0153846153846154","0.369230769230769","20","7","2","1","7"
"Dicot sp.WR031","9","1","1","0.444444444444444","0.111111111111111","0","0.555555555555556","10","3","1","0","5"
"Dicot sp.WR029","29","1","0.931034482758621","0.275862068965517","0.172413793103448","0","0.275862068965517","22","7","4","0","6"
"Dicot sp.WR027","7","1","0.857142857142857","0.571428571428571","0.142857142857143","0.285714285714286","0.428571428571429","13","4","1","2","6"
"Dicot sp.WR034","5","0.8","0.8","0.2","0.2","0","0.2","6","1","1","0","5"
"Symplocos incondita","58","0.896551724137931","0.896551724137931","0.362068965517241","0.310344827586207","0","0.448275862068966","27","10","6","0","7"
"Dicot sp.WR033","33","0.96969696969697","0.96969696969697","0.0909090909090909","0.0303030303030303","0","0.121212121212121","17","3","1","0","6"
"Dicot sp.WR032","10","0.8","0.8","0.2","0.1","0","0.3","12","2","1","0","5"
"Dicot sp.WR007","148","0.831081081081081","0.810810810810811","0.29054054054054","0.108108108108108","0.0675675675675676","0.283783783783784","35","18","4","7","8"
"Juglandaceae sp.WR035","9","1","0.888888888888889","0.111111111111111","0","0.111111111111111","0.111111111111111","9","2","0","1","5"
"Platanites raynoldsii","22","0.863636363636364","0.863636363636364","0.227272727272727","0.181818181818182","0","0.227272727272727","11","3","2","0","4"
"Dombeya novi-mundi","20","1","0.95","0.5","0.15","0.05","0.3","18","8","3","1","7"
"Macginitiea ranii","14","0.785714285714286","0.785714285714286","0.214285714285714","0","0","0.0714285714285714","9","2","0","0","5"
"Dicot sp.WR030","3","0.333333333333333","0.333333333333333","0","0","0","0","2","0","0","0","1"
"Rhus sp.","1","1","1","0","0","0","0","2","0","0","0","1"
"Total","611","0.83633387888707","0.818330605564648","0.248772504091653","0.112929623567921","0.0261865793780687","0.271685761047463","50","30","7","8","8"
