DT,All,Insect,Spec,Gall,Mine,Fungal
1,T,T,F,F,F,F
2,T,T,F,F,F,F
3,T,T,F,F,F,F
4,T,T,F,F,F,F
5,T,T,F,F,F,F
6,T,T,T,F,F,F
7,T,T,F,F,F,F
8,T,T,T,F,F,F
9,T,T,T,F,F,F
10,T,T,T,F,F,F
11,F,T,F,F,F,F
12,T,T,F,F,F,F
13,T,T,F,F,F,F
14,T,T,F,F,F,F
15,T,T,T,F,F,F
16,T,T,F,F,F,F
17,T,T,F,F,F,F
18,T,T,T,F,F,F
19,T,T,T,F,F,F
20,T,T,T,F,F,F
21,T,T,T,F,F,F
22,T,T,T,F,F,F
23,T,T,T,F,F,F
24,T,T,T,F,F,F
25,T,T,T,F,F,F
26,T,T,T,F,F,F
27,T,T,T,F,F,F
28,T,T,T,F,F,F
29,T,T,F,F,F,F
30,T,T,F,F,F,F
31,T,T,F,F,F,F
32,T,T,T,T,F,F
33,T,T,T,T,F,F
34,T,T,T,T,F,F
35,T,T,T,F,T,F
36,T,T,T,F,T,F
37,T,T,T,F,T,F
38,T,T,T,F,T,F
39,T,T,T,F,T,F
40,T,T,T,F,T,F
41,T,T,T,F,T,F
42,T,T,T,F,T,F
43,T,T,T,F,T,F
44,T,T,T,F,T,F
45,T,T,T,F,T,F
46,T,T,T,F,F,F
47,T,T,T,F,F,F
48,T,T,T,F,F,F
49,T,T,T,T,F,F
50,T,T,T,F,F,F
51,T,T,T,F,F,F
52,T,T,T,T,F,F
53,T,T,T,F,F,F
54,T,T,F,F,F,F
55,T,T,T,T,F,F
56,T,T,T,F,F,F
57,T,T,T,F,F,F
58,F,T,F,F,F,F
59,T,T,T,F,T,F
60,T,T,T,F,T,F
61,T,T,T,F,F,F
62,T,T,T,T,F,F
63,T,T,T,F,F,F
64,T,T,T,F,F,F
65,T,T,T,F,T,F
66,T,T,T,F,T,F
67,T,T,F,F,F,F
68,T,T,T,F,F,F
69,T,T,T,F,T,F
70,T,T,T,T,F,F
71,T,T,T,F,T,F
72,T,T,F,F,F,F
73,T,T,F,F,F,F
74,T,T,F,F,F,F
75,T,T,T,F,F,F
76,T,T,F,F,F,F
77,T,T,F,F,F,F
78,T,T,F,F,F,F
79,T,T,T,F,F,F
80,T,T,T,T,F,F
81,T,T,F,F,F,F
82,T,T,F,F,F,F
83,T,T,T,T,F,F
